Date,HEXO,TCNNF,TLRY
2020-09-18,100.0,100.0,100.0
2020-09-21,85.01291989664081,94.92711483584377,89.70037453183521
2020-09-28,84.10852713178294,97.0168697028959,90.26217228464421
2020-10-05,98.57881136950904,111.80188538728983,113.10861423220975
2020-10-12,96.38242894056847,113.36920676196611,104.11985018726591
2020-10-19,99.35400516795866,125.38529202312878,126.02996254681649
2020-10-30,78.55297157622738,122.97162515168355,106.92883895131087
2020-11-02,115.76227390180878,134.52796956648191,180.33707865168543
2020-11-09,96.89922480620154,142.39066702937845,143.25842696629215
2020-11-16,92.76485788113695,130.3484650567648,137.82771535580525
2020-11-27,111.75710594315245,151.28780360024015,159.17602996254683
2020-11-30,139.53488372093022,158.61239963364508,161.04868913857678
2020-12-11,129.19896640826875,159.8140034578129,145.5056179775281
2020-12-14,135.65891472868216,171.34945032394074,166.4794007490637
2020-12-21,131.13695090439273,166.6057015513452,160.8614232209738
2020-12-28,118.86304909560724,165.19512746485935,154.6816479400749
2021-01-08,155.03875968992247,209.70689568429572,211.79775280898875
2021-01-11,232.88113695090436,226.26297339412918,368.9138764044944
2021-01-18,216.0852713178295,224.64864820810573,337.4531835205993
