Date,ACB,APHA,CGC,CRON,HEXO,TCNNF,TLRY
2020-09-14,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-09-21,77.33537519142419,90.3846153846154,86.61368663730521,96.03024574669186,85.01291989664081,94.92711483584377,89.70037453183521
2020-09-28,70.13782542113323,94.23076923076924,85.88019034962161,95.0850661625709,84.10852713178294,97.0168697028959,90.26217228464421
2020-10-05,77.0290964777948,122.86324786324786,110.45231598702226,108.50661625708884,98.57881136950904,111.80188538728983,113.10861423220975
2020-10-12,61.56202143950994,99.35897435897438,108.55745057717297,102.64650283553875,96.38242894056847,113.36920676196611,104.11985018726591
2020-10-19,71.66921898928024,97.22222222222221,120.59901463331207,110.20793950850663,99.35400516795866,125.38529202312878,126.02996254681649
2020-10-26,62.02143950995406,96.15384615384616,114.79217513495263,100.0,78.55297157622738,122.97162515168355,106.92883895131087
2020-11-02,149.92343032159263,117.52136752136752,143.64302300470519,141.96597353497165,115.76227390180878,134.52796956648191,180.33707865168543
2020-11-09,108.42266462480856,120.94017094017096,149.32761923425312,134.02646502835537,96.89922480620154,142.39066702937845,143.25842696629215
2020-11-16,109.18836140888209,130.98290598290598,144.98776008632274,136.48393194706995,92.76485788113695,130.3484650567648,137.82771535580525
2020-11-23,160.33690658499236,165.17094017094018,177.26160285687024,160.11342155009453,111.75710594315245,151.28780360024015,159.17602996254683
2020-11-30,166.7687595712098,181.41025641025644,174.75549054061793,163.13799621928166,139.53488372093022,158.61239963364508,161.04868913857678
2020-12-07,151.76110260336907,170.2991452991453,162.1638103811852,150.85066162570888,129.19896640826875,159.8140034578129,145.5056179775281
2020-12-14,147.0137825421133,163.46153846153848,158.74081548039024,147.06994328922497,135.65891472868216,171.34945032394074,166.4794007490637
2020-12-21,135.8346094946401,152.35042735042737,158.0684561082851,141.39886578449907,131.13695090439273,166.6057015513452,160.8614232209738
2020-12-28,127.25880551301685,147.86324786324786,150.61123162523035,131.19092627599244,118.86304909560724,165.19512746485935,154.6816479400749
2021-01-04,152.98621745788668,183.11965811965814,184.41319166178536,171.26654064272213,155.03875968992247,209.70689568429572,211.79775280898875
2021-01-11,184.37978560490046,265.3846153846154,204.0953359354929,206.61625708884688,232.88113695090436,226.26297339412918,368.9138764044944
2021-01-18,163.09341500765697,276.06837606837604,206.6014482517452,201.32325141776937,216.0852713178295,224.64864820810573,337.4531835205993
