Date,ACB,APHA,CGC,CRON,HEXO,TCNNF,TLRY
2021-01-11,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021-01-12,101.14942528735634,104.19889502762429,98.25230690347338,99.59183673469387,105.7312252964427,103.11406750431141,108.27250608272504
2021-01-13,104.50191570881226,110.49723756906076,102.25612018608581,109.18367346938773,123.91304347826086,112.58931017491993,121.81670721816707
2021-01-14,114.55938697318008,133.81215469613258,110.00953320653109,114.89795918367345,140.9090909090909,111.43138704114313,150.52716139497159
2021-01-15,115.32567049808429,137.23756906077347,106.1010488115999,111.53061224489795,142.49011857707512,106.69868933234785,159.7729197080292
2021-01-19,113.40996168582376,150.3867403314917,106.64125219705282,113.16326530612244,139.13043478260872,107.16925351071691,162.9359286293593
2021-01-20,110.53639846743295,144.41988950276243,106.86368626830907,111.734693877551,138.1422924901186,109.38655333826064,152.39254663422545
2021-01-21,106.99233716475096,140.11049723756906,106.64125219705282,109.59183673469389,133.59683794466403,108.22862774082284,145.33657745336578
2021-01-22,102.01149425287358,142.7624309392265,107.40387694324363,108.6734693877551,132.21343873517787,105.93742301059372,146.14760746147607
2021-01-25,97.31800766283526,132.70718232044197,104.57578978632951,101.12244897959184,120.7509881422925,106.77506775067751,139.33495539334956
2021-01-26,102.20306513409963,143.31491712707182,112.86940301459813,105.91836734693878,130.83003952569172,104.40995565410198,154.3390186536902
2021-01-27,107.27969348659003,143.75690607734805,120.20973372131346,105.51020408163265,128.06324110671937,98.20152993348115,150.4460583941606
2021-01-28,112.06896551724137,143.20441988950276,128.1538076947508,106.93877551020408,128.85375494071147,98.44789110618377,151.6626196269262
2021-01-29,106.80076628352491,134.585635359116,127.32761764625415,105.61224489795917,125.49407114624506,98.44789110618377,146.79643146796434
2021-02-01,107.27969348659003,138.12154696132595,127.29584452798998,104.0816326530612,123.91304347826086,98.62034737620102,154.90673154906733
2021-02-02,121.64750957854406,162.87292817679557,132.55481832077592,115.81632653061223,140.7114624505929,104.31140675043113,190.51094890510947
2021-02-03,131.70498084291188,183.4254143646409,142.80267056888053,125.0,156.7193675889328,105.3461394432126,213.38198702351986
2021-02-04,125.19157088122606,181.65746961325968,140.26056689738058,124.38775510204081,154.34782608695653,111.33283813747228,217.19384428223844
2021-02-05,122.60536398467434,184.19889502762433,136.4156382718665,122.55102040816325,154.1501976284585,114.11677753141167,208.5969099756691
